PREGUNTA,A,B,C,D,E,F,RESPUESTA_CORRECTA
"A marketing co-worker has requested the ability to change a warehouse size on their medium virtual warehouse called MKTG_WH.Which of the following statements will accommodate this request?","A. ALLOW RESIZE ON WAREHOUSE MKTG_WH TO USER MKTG_LEAD;","B. GRANT MODIFY ON WAREHOUSE MKTG_WH TO ROLE MARKETING;  ","C. GRANT MODIFY ON WAREHOUSE MKTG_WH TO USER MKTG_LEAD;","D. GRANT OPERATE ON WAREHOUSE MKTG_WH TO ROLE MARKET;","","","C"
"Which of the following commands cannot be used within a reader account?","A. CREATE SHARE  ","B. ALTER WAREHOUSE","C. DROP ROLE","D. SHOW SCHEMAS","E. DESCRIBE TABLE","","A"
"Which TABLE function helps to convert semi-structured data to a relational representation?","A. CHECK_JSON","B. TO_JSON","C. FLATTEN  ","D. PARSE_JSON","","","C"
"Which query profile statistics help determine if efficient pruning is occurring? (Choose two.)","A. Bytes sent over network","B. Percentage scanned from cache","C. Partitions total  ","D. Bytes spilled to local storage","E. Partitions scanned  ","","B,E"
"What are the default Time Travel and Fail-safe retention periods for transient tables?","A. Time Travel - 1 day, Fail-safe - 1 day","B. Time Travel - 0 days, Fail-safe - 1 day","C. Time Travel - 1 day, Failsafe - 0 days  ","D. Transient tables are retained in neither Fail-safe nor Time Travel.","","","C"
"Which command is used to unload data from a Snowflake table into a file in a stage?","A. COPY INTO  ","B. GET","C. WRITE","D. EXTRACT INTO","","","A"
"What are advantages clones have over tables created with CREATE TABLE AS SELECT statement? (Choose two.)","A. The clone always stays in sync with the original table.","B. The clone has better query performance.","C. The clone is created almost instantly.  ","D. The clone will have time travel history from the original table.","E. The clone saves space by not duplicating storage.  ","","C,E"
"How often are the Account and Table master keys automatically rotated by Snowflake?","A. 30 Days  ","B. 60 Days","C. 90 Days","D. 365 Days.","","","A"
"Which privilege is required for a role to be able to resume a suspended warehouse if auto-resume is not enabled?","A. USAGE","B. OPERATE  ","C. MONITOR","D. MODIFY","","","B"
"Which statement MOST accurately describes clustering in Snowflake?","A. The database ACCOUNTADMIN must define the clustering methodology for each Snowflake table.","B. Clustering is the way data is grouped together and stored within Snowflake micro-partitions.","C. The clustering key must be included in the COPY command when loading data into Snowflake.","D. Clustering can be disabled within a Snowflake account.","","","B"
"Which of the following practices are recommended when creating a user in Snowflake? (Choose two.)","A. Configure the user to be initially disabled.","B. Force an immediate password change.  ","C. Set a default role for the user.  ","D. Set the number of minutes to unlock to 15 minutes.","E. Set the user's access to expire within a specified timeframe.","","B,C"
"Network policies can be applied to which of the following Snowflake objects? (Choose two.)","A. Roles","B. Databases","C. Warehouses","D. Users  ","E. Accounts  ","","D,E"
"Where is Snowflake metadata stored?","A. Within the data files","B. In the virtual warehouse layer","C. In the cloud services layer  ","D. In the remote storage layer","","","C"
"What columns are returned when performing a FLATTEN command on semi-structured data? (Choose two.)","A. KEY  ","B. NODE","C. VALUE  ","D. LEVEL","E. ROOT","","A,C"
"Which of the following Snowflake features provide continuous data protection automatically? (Choose two.)","A. Internal stages","B. Incremental backups","C. Time Travel  ","D. Zero-copy clones","E. Fail-safe  ","","C,E"
"A developer is granted ownership of a table that has a masking policy. The developer’s role is not able to see the masked data.Will the developer be able to modify the table to read the masked data?","A. Yes, because a table owner has full control and can unset masking policies.","B. Yes, because masking policies only apply to cloned tables.","C. No, because masking policies must always reference specific access roles.","D. No, because ownership of a table does not include the ability to change masking policies.  ","","","D"
"How should a virtual warehouse be configured if a user wants to ensure that additional multi-clusters are resumed with no delay?","A. Configure the warehouse to a size larger than generally required","B. Set the minimum and maximum clusters to autoscale","C. Use the standard warehouse scaling policy  ","D. Use the economy warehouse scaling policy","","","C"
"During periods of warehouse contention, which parameter controls the maximum length of time a warehouse will hold a query for processing?","A. STATEMENT_TIMEOUT_IN_SECONDS","B. STATEMENT_QUEUED_TIMEOUT_IN_SECONDS  ","C. MAX_CONCURRENCY_LEVEL","D. QUERY_TIMEOUT_IN_SECONDS","","","B"
"Files have been uploaded to a Snowflake internal stage. The files now need to be deleted.Which SQL command should be used to delete the files?","A. PURGE","B. MODIFY","C. REMOVE  ","D. DELETE","","","C"
"In a Snowflake role hierarchy, what is the top-level role?","A. SYSADMIN","B. ORGADMIN  ","C. ACCOUNTADMIN  ","D. SECURITYADMIN","","","C"
"By default, which Snowflake role is required to create a share?","A. ORGADMIN","B. SECURITYADMIN","C. SHAREADMIN","D. ACCOUNTADMIN  ","","","D"
"What happens to historical data when the retention period for an object ends?","A. The data is cloned into a historical object.","B. The data moves to Fail-safe  ","C. Time Travel on the historical data is dropped.","D. The object containing the historical data is dropped.","","","B"
"A company’s security audit requires generating a report listing all Snowflake logins (e.g., date and user) within the last 90 days.Which of the following statements will return the required information?","A. SELECT LAST_SUCCESS_LOGIN, LOGIN_NAME FROM ACCOUNT_USAGE.USERS;","B. SELECT EVENT_TIMESTAMP, USER_NAME FROM table(information_schema.login_history_by_user())","C. SELECT EVENT_TIMESTAMP, USER_NAME FROM ACCOUNT_USAGE.ACCESS_HISTORY;","D. SELECT EVENT_TIMESTAMP, USER_NAME FROM ACCOUNT_USAGE.LOGIN_HISTORY;  ","","","D"
"What are common issues found by using the Query Profile? (Choose two.)","A. Identifying queries that will likely run very slowly before executing them","B. Locating queries that consume a high amount of credits","C. Identifying logical issues with the queries","D. Identifying inefficient micro-partition pruning  ","E. Data spilling to a local or remote disk  ","","D,E"
"The Snowflake Search Optimization Services supports improved performance of which kind of query?","A. Queries against large tables where frequent DML occurs","B. Queries against tables larger than 1 TB","C. Selective point lookup queries  ","D. Queries against a subset of columns in a table","","","C"
"Which file formats are supported for unloading data from Snowflake? (Choose two.)","A. Avro","B. JSON  ","C. ORC","D. XML","E. Delimited (CSV, TSV, etc.)  ","","B,E"
